"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","power","war","state","law","spirit","side","progress","action","nation","still","war","union","busi","america","day"
"2","constitut","republ","nation","congress","mind","struggl","determin","common","world","servic","equal","constitut","race","new","thing"
"3","execut","way","great","offic","happi","carri","advanc","stand","freedom","requir","commerc","state","proper","time","good"
"4","exist","face","public","now","friend","cost","system","hope","peac","truth","forc","right","south","let","see"
"5","whole","industri","duti","question","honest","enemi","home","wish","free","fear","afford","protect","industri","everi","hand"
"6","charact","order","interest","execut","look","believ","feder","militari","know","person","purpos","opinion","prevent","today","great"
"7","govern","world","unit","polici","solemn","individu","cooper","countrymen","life","rule","resourc","object","order","world","look"
"8","howev","civil","everi","constitut","futur","judg","toward","success","hope","also","produc","bless","tariff","make","use"
"9","depart","product","power","administr","station","continu","whole","much","man","oath","made","extend","trade","togeth","chang"
"10","liberti","establish","foreign","civil","reflect","economi","develop","principl","help","rather","success","limit","certain","american","year"
"11","spirit","nation","best","enforc","equal","summon","democraci","done","faith","hold","might","within","condit","great","like"
"12","citizen","understand","right","make","honor","fall","econom","conscious","live","far","sovereignti","domest","possibl","now","come"
"13","effect","littl","respect","polit","advanc","price","direct","pledg","right","vital","arm","exercis","control","citizen","made"
"14","legisl","assur","part","demand","first","spend","justic","repres","long","though","year","independ","exist","work","whether"
"15","principl","inspir","time","labor","gratitud","begin","contribut","counsel","liberti","nation","especi","system","avoid","centuri","part"
"16","case","restor","preserv","parti","acknowledg","depend","human","bear","earth","chosen","intern","administr","use","presid","democraci"
"17","perfect","work","present","take","cours","found","ideal","express","futur","found","effect","institut","feel","power","fact"
"18","grant","concern","import","protect","rever","greater","prosper","resourc","human","guid","highest","feder","benefit","respons","voic"
"19","member","like","good","citizen","among","group","limit","true","seek","seen","put","portion","legisl","children","heart"
"20","observ","call","support","elect","convict","hero","peac","welfar","god","true","naval","equal","subject","promis","offer"
